time,title,highlight
2025 August 15, New research work titled UbiQTree: Uncertainty Quantification in XAI with Tree Ensembles is now available on Arxiv - check out research section, 1
2025 June 01, New research work titled Surrogate Interpretable Graph for Random Decision Forest is now available on Arxiv - check out research section, 2
2024 Decemeber 13, New research work titled Persona Adaptable Strategies Make Large Language Models Tractable Published at International Conference on Natural Language Processing and Information Retrieval (NLPIR 2024) in Okayama University in Japan, 3
2024 October 29, Presented the research work on Trustworthy AI in Public Health at 151st Annual Meeting of the American Public Health Association in Minneapolis-United States of America, 4
2024 October 20, Presented the research article titled AI Readiness in Healthcare through Storytelling XAI at First Workshop on Explainable Artificial Intelligence for the Medical Domain (EXPLIMED) @ European Conference on Artificial Intelligence (ECAI) - 2024 in Santiago de Compostela-Spain,5
2024 April 01, Started working as Teaching Assistant (TA) at Freie Universität in Berlin (Germany), 6
2023 August 01, Starting working as Research Associate at Robert Koch Institute: Centre for Artificial Intelligence in Berlin (Germany), 7
2023 October 01, Started PhD at Freie Universität in Berlin (Germany), 8
2023 May 25, Graduated with Dual Degree (BSc+MSc) from Birla Institue of Technology - Mesra Ranchi (India), 9
2022 July, Best Research Paper Award at DATA 2023 Conference in Lisbon (Portugal) for Detecting Bots in Social Networks Using Node and Structural Embeddings,10
2021 September, Research Assistant at Toronto Metropolitan University (Formerly Ryerson University) in Toronto (Canada),11

